| ROM    | Address Range   | Size  | Description                     | Notes                      |
| m1.1h  | 0xA62C-0xA62E   | 3B    | Map 1/D1 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA62F-0xA631   | 3B    | Map 1/D1 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA632-0xA634   | 3B    | Map 1/D1 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA635-0xA635   | 1B    | Map 1/D1 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xA636-0xA636   | 1B    | Map 1/D1 Ring 1    - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA637-0xA63A   | 4B    | Map 1/D1 Ring 1    - Padding    | 00 00 00 00                |
| m1.1h  | 0xA63B-0xA63D   | 3B    | Map 1/D1 Ring 1    - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA63E-0xA644   | 7B    | Map 1/D1 Ring 1    - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA645-0xA645   | 1B    | Map 1/D1 Ring 1    - Tile ID    | 0x6F                       |
| m1.1h  | 0xA646-0xA646   | 1B    | Map 1/D1 Ring 2    - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA647-0xA64A   | 4B    | Map 1/D1 Ring 2    - Padding    | 00 00 00 00                |
| m1.1h  | 0xA64B-0xA64D   | 3B    | Map 1/D1 Ring 2    - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA64E-0xA654   | 7B    | Map 1/D1 Ring 2    - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA655-0xA655   | 1B    | Map 1/D1 Ring 2    - Tile ID    | 0x6F                       |
| m1.1h  | 0xA656-0xA656   | 1B    | Map 1/D1 Ring 3    - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA657-0xA65A   | 4B    | Map 1/D1 Ring 3    - Padding    | 00 00 00 00                |
| m1.1h  | 0xA65B-0xA65D   | 3B    | Map 1/D1 Ring 3    - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA65E-0xA664   | 7B    | Map 1/D1 Ring 3    - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA665-0xA665   | 1B    | Map 1/D1 Ring 3    - Tile ID    | 0x6F                       |
| m1.1h  | 0xA666-0xA666   | 1B    | Map 1/D1 Ring 4    - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA667-0xA66A   | 4B    | Map 1/D1 Ring 4    - Padding    | 00 00 00 00                |
| m1.1h  | 0xA66B-0xA66D   | 3B    | Map 1/D1 Ring 4    - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA66E-0xA674   | 7B    | Map 1/D1 Ring 4    - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA675-0xA675   | 1B    | Map 1/D1 Ring 4    - Tile ID    | 0x6F                       |
| m1.1h  | 0xA676-0xA676   | 1B    | Map 1/D1 Key 1     - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA677-0xA67A   | 4B    | Map 1/D1 Key 1     - Padding    | 00 00 00 00                |
| m1.1h  | 0xA67B-0xA67D   | 3B    | Map 1/D1 Key 1     - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA67E-0xA684   | 7B    | Map 1/D1 Key 1     - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA685-0xA685   | 1B    | Map 1/D1 Key 1     - Tile ID    | 0x70                       |
| m1.1h  | 0xA686-0xA686   | 1B    | Map 1/D1 Key 2     - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA687-0xA68A   | 4B    | Map 1/D1 Key 2     - Padding    | 00 00 00 00                |
| m1.1h  | 0xA68B-0xA68D   | 3B    | Map 1/D1 Key 2     - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA68E-0xA694   | 7B    | Map 1/D1 Key 2     - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA695-0xA695   | 1B    | Map 1/D1 Key 2     - Tile ID    | 0x70                       |
| m1.1h  | 0xA696-0xA696   | 1B    | Map 1/D1 Key 3     - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA697-0xA69A   | 4B    | Map 1/D1 Key 3     - Padding    | 00 00 00 00                |
| m1.1h  | 0xA69B-0xA69D   | 3B    | Map 1/D1 Key 3     - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA69E-0xA6A4   | 7B    | Map 1/D1 Key 3     - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA6A5-0xA6A5   | 1B    | Map 1/D1 Key 3     - Tile ID    | 0x70                       |
| m1.1h  | 0xA6A6-0xA6A6   | 1B    | Map 1/D1 Key 4     - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA6A7-0xA6AA   | 4B    | Map 1/D1 Key 4     - Padding    | 00 00 00 00                |
| m1.1h  | 0xA6AB-0xA6AD   | 3B    | Map 1/D1 Key 4     - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA6AE-0xA6B4   | 7B    | Map 1/D1 Key 4     - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA6B5-0xA6B5   | 1B    | Map 1/D1 Key 4     - Tile ID    | 0x70                       |
| m1.1h  | 0xA6B6-0xA6B6   | 1B    | Map 1/D1 Keyhole 1 - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA6B7-0xA6BA   | 4B    | Map 1/D1 Keyhole 1 - Padding    | 00 00 00 00                |
| m1.1h  | 0xA6BB-0xA6BD   | 3B    | Map 1/D1 Keyhole 1 - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA6BE-0xA6C4   | 7B    | Map 1/D1 Keyhole 1 - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA6C5-0xA6C5   | 1B    | Map 1/D1 Keyhole 1 - Tile ID    | 0x72                       |
| m1.1h  | 0xA6C6-0xA6C6   | 1B    | Map 1/D1 Keyhole 2 - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA6C7-0xA6CA   | 4B    | Map 1/D1 Keyhole 2 - Padding    | 00 00 00 00                |
| m1.1h  | 0xA6CB-0xA6CD   | 3B    | Map 1/D1 Keyhole 2 - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA6CE-0xA6D4   | 7B    | Map 1/D1 Keyhole 2 - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA6D5-0xA6D5   | 1B    | Map 1/D1 Keyhole 2 - Tile ID    | 0x72                       |
| m1.1h  | 0xA6D6-0xA6D6   | 1B    | Map 1/D1 Keyhole 3 - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA6D7-0xA6DA   | 4B    | Map 1/D1 Keyhole 3 - Padding    | 00 00 00 00                |
| m1.1h  | 0xA6DB-0xA6DD   | 3B    | Map 1/D1 Keyhole 3 - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA6DE-0xA6E4   | 7B    | Map 1/D1 Keyhole 3 - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA6E5-0xA6E5   | 1B    | Map 1/D1 Keyhole 3 - Tile ID    | 0x72                       |
| m1.1h  | 0xA6E6-0xA6E6   | 1B    | Map 1/D1 Keyhole 4 - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA6E7-0xA6EA   | 4B    | Map 1/D1 Keyhole 4 - Padding    | 00 00 00 00                |
| m1.1h  | 0xA6EB-0xA6ED   | 3B    | Map 1/D1 Keyhole 4 - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA6EE-0xA6F4   | 7B    | Map 1/D1 Keyhole 4 - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA6F5-0xA6F5   | 1B    | Map 1/D1 Keyhole 4 - Tile ID    | 0x72                       |
| m1.1h  | 0xA6F6-0xA6F6   | 1B    | Map 1/D1 Crown 1   - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA6F7-0xA6FA   | 4B    | Map 1/D1 Crown 1   - Padding    | 00 00 00 00                |
| m1.1h  | 0xA6FB-0xA6FD   | 3B    | Map 1/D1 Crown 1   - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA6FE-0xA704   | 7B    | Map 1/D1 Crown 1   - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA705-0xA705   | 1B    | Map 1/D1 Crown 1   - Tile ID    | 0x62                       |
| m1.1h  | 0xA706-0xA706   | 1B    | Map 1/D1 Crown 2   - Active     | 0x00 Inactive/0x01 Active  |
| m1.1h  | 0xA707-0xA70A   | 4B    | Map 1/D1 Crown 2   - Padding    | 00 00 00 00                |
| m1.1h  | 0xA70B-0xA70D   | 3B    | Map 1/D1 Crown 2   - Location   | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA70E-0xA714   | 7B    | Map 1/D1 Crown 2   - Padding    | 00 00 00 00 00 00 00       |
| m1.1h  | 0xA715-0xA715   | 1B    | Map 1/D1 Crown 2   - Tile ID    | 0x62                       |
| m1.1h  | 0xA716-0xA716   | 1B    | Map 1/D1 Separator              | Always 0x00                |
| m1.1h  | 0xA717-0xA71A   | 4B    | Map 1/D1 Teleport 1 - Location  | BIG-ENDIAN, YY YY BRow TRow|
| m1.1h  | 0xA71B-0xA71E   | 4B    | Map 1/D1 Teleport 1 - Padding   | 00 00 00 00                |
| m1.1h  | 0xA71F-0xA722   | 4B    | Map 1/D1 Teleport 2 - Location  | BIG-ENDIAN, YY YY BRow TRow|
| m1.1h  | 0xA723-0xA726   | 4B    | Map 1/D1 Teleport 2 - Padding   | 00 00 00 00                |
| m1.1h  | 0xA727-0xA72A   | 4B    | Map 1/D1 Teleport 3 - Location  | BIG-ENDIAN, YY YY BRow TRow|
| m1.1h  | 0xA72B-0xA72E   | 4B    | Map 1/D1 Teleport 3 - Padding   | 00 00 00 00                |
| m1.1h  | 0xA72F-0xA732   | 4B    | Map 1/D1 Teleport 4 - Location  | BIG-ENDIAN, YY YY BRow TRow|
| m1.1h  | 0xA733-0xA736   | 4B    | Map 1/D1 Teleport 4 - Padding   | 00 00 00 00                |
| m1.1h  | 0xA737-0xA73A   | 4B    | Map 1/D1 Teleport 5 - Location  | BIG-ENDIAN, YY YY BRow TRow|
| m1.1h  | 0xA73B-0xA73E   | 4B    | Map 1/D1 Teleport 5 - Padding   | 00 00 00 00                |
| m1.1h  | 0xA73F-0xA742   | 4B    | Map 1/D1 Teleport 6 - Location  | BIG-ENDIAN, YY YY BRow TRow|
| m1.1h  | 0xA743-0xA746   | 4B    | Map 1/D1 Teleport 6 - Padding   | 00 00 00 00                |
| m1.1h  | 0xA747-0xA749   | 3B    | Map 1/D1 Spawner 1  - Location  | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA74A-0xA74A   | 1B    | Map 1/D1 Spawner 1  - Padding   | Always 0x00                |
| m1.1h  | 0xA74B-0xA74D   | 3B    | Map 1/D1 Spawner 2  - Location  | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA74E-0xA74E   | 1B    | Map 1/D1 Spawner 2  - Padding   | Always 0x00                |
| m1.1h  | 0xA74F-0xA751   | 3B    | Map 1/D1 Spawner 3  - Location  | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA752-0xA752   | 1B    | Map 1/D1 Spawner 3  - Padding   | Always 0x00                |
| m1.1h  | 0xA753-0xA755   | 3B    | Map 1/D1 Spawner 4  - Location  | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA756-0xA756   | 1B    | Map 1/D1 Spawner 4  - Padding   | Always 0x00                |
| m1.1h  | 0xA757-0xA759   | 3B    | Map 1/D1 Spawner 5  - Location  | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA75A-0xA74A   | 1B    | Map 1/D1 Spawner 5  - Padding   | Always 0x00                |
| m1.1h  | 0xA75B-0xA75D   | 3B    | Map 1/D1 Spawner 6  - Location  | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA75E-0xA75E   | 1B    | Map 1/D1 Spawner 6  - Padding   | Always 0x00                |
| m1.1h  | 0xA75F-0xA761   | 3B    | Map 1/D1 Spawner 7  - Location  | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA762-0xA762   | 1B    | Map 1/D1 Spawner 7  - Padding   | Always 0x00                |
| m1.1h  | 0xA763-0xA765   | 3B    | Map 1/D1 Separator              | 00 00 00                   |
| m1.1h  | 0xA766-0xA767   | 2B    | Map 2/D1 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m1.1h  | 0xA768-0xA769   | 2B    | Map 2/D1 Visual Map Pointer     | BIG-ENDIAN, 0x9300         |
| m1.1h  | 0xA76A-0xA76A   | 1B    | Map 2/D1 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xA76B-0xA76B   | 1B    | Map 2/D1 Time Limit             | Seconds, e.g., 0x5A=90s    |
| m1.1h  | 0xA76C-0xA770   | 5B    | Map 2/D1 Unknown Data           | Unknown purpose            |
| m1.1h  | 0xA771-0xA773   | 3B    | Map 2/D1 Player Start           | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA774-0xA776   | 3B    | Map 2/D1 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA777-0xA779   | 3B    | Map 2/D1 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA77A-0xA77C   | 3B    | Map 2/D1 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA77D-0xA77D   | 1B    | Map 2/D1 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xA77E-0xA85D   | 224B  | Map 2/D1 Items Block            | See M1/D1 For Breakout     |
| m1.1h  | 0xA85E-0xA85E   | 1B    | Map 2/D1 Separator              | Always 0x00                |
| m1.1h  | 0xA85F-0xA88E   | 48B   | Map 2/D1 Teleports Block        | See M1/D1 For Breakout     |
| m1.1h  | 0xA88F-0xA8AD   | 31B   | Map 2/D1 Spawners Block         | See M1/D1 For Breakout     |
| m1.1h  | 0xA8AE-0xA8AF   | 2B    | Map 3/D1 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m1.1h  | 0xA8B0-0xA8B1   | 2B    | Map 3/D1 Visual Map Pointer     | BIG-ENDIAN, 0x9600         |
| m1.1h  | 0xA8B2-0xA8B2   | 1B    | Map 3/D1 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xA8B3-0xA8B3   | 1B    | Map 3/D1 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m1.1h  | 0xA8B4-0xA8B8   | 5B    | Map 3/D1 Unknown Data           | Unknown purpose            |
| m1.1h  | 0xA8B9-0xA8BB   | 3B    | Map 3/D1 Player Start           | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA8BC-0xA8BE   | 3B    | Map 3/D1 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA8BF-0xA8C1   | 3B    | Map 3/D1 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA8C2-0xA8C4   | 3B    | Map 3/D1 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xA8C5-0xA8C5   | 1B    | Map 3/D1 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xA8C6-0xA9A5   | 224B  | Map 3/D1 Items Block            | See M1/D1 For Breakout     |
| m1.1h  | 0xA9A6-0xA9A6   | 1B    | Map 3/D1 Separator              | Always 0x00                |
| m1.1h  | 0xA9A7-0xA9D6   | 48B   | Map 3/D1 Teleports Block        | See M1/D1 For Breakout     |
| m1.1h  | 0xA9D7-0xA9F5   | 31B   | Map 3/D1 Spawners Block         | See M1/D1 For Breakout     |
| m1.1h  | 0xA9F6-0xA9F7   | 2B    | Map 4/D1 Logical Map Pointer    | BIG-ENDIAN, 0x9700         |
| m1.1h  | 0xA9F8-0xA9F9   | 2B    | Map 4/D1 Visual Map Pointer     | BIG-ENDIAN, 0x9900         |
| m1.1h  | 0xA9FA-0xA9FA   | 1B    | Map 4/D1 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xA9FB-0xA9FB   | 1B    | Map 4/D1 Time Limit             | Seconds, e.g., 0x8C=140s   |
| m1.1h  | 0xA9FC-0xAA00   | 5B    | Map 4/D1 Unknown Data           | Unknown purpose            |
| m1.1h  | 0xAA01-0xAA03   | 3B    | Map 4/D1 Player Start           | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAA04-0xAA06   | 3B    | Map 4/D1 Respawn Point 1        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAA07-0xAA09   | 3B    | Map 4/D1 Respawn Point 2        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAA0A-0xAA0C   | 3B    | Map 4/D1 Respawn Point 3        | BIG-ENDIAN, YY YY XX       |
| m1.1h  | 0xAA0D-0xAA0D   | 1B    | Map 4/D1 Map Width              | (Value + 0x01) Screens     |
| m1.1h  | 0xAA0E-0xAAED   | 224B  | Map 4/D1 Items Block            | See M1/D1 For Breakout     |
| m1.1h  | 0xAAEE-0xAAEE   | 1B    | Map 4/D1 Separator              | Always 0x00                |
| m1.1h  | 0xAAEF-0xAB1E   | 48B   | Map 4/D1 Teleports Block        | See M1/D1 For Breakout     |
| m1.1h  | 0xAB1F-0xAB3D   | 31B   | Map 4/D1 Spawners Block         | See M1/D1 For Breakout     |
| m1.1h  | 0xAB3E-0xAB3F   | 2B    | Map 1/D2 Logical Map Pointer    | BIG-ENDIAN, 0x9000         |
| m1.1h  | 0xAB40-0xAB41   | 2B    | Map 1/D2 Visual Map Pointer     | BIG-ENDIAN, 0x9000         |
| m1.1h  | 0xAB42-0xAB42   | 1B    | Map 1/D2 Enemy Spawn Rate       | 0x05-0x08 range            |
| m1.1h  | 0xAB43-0xAB43   | 1B    | Map 1/D2 Time Limit             | Seconds, e.g., 0x3C=60s    |
| m1.1h  | 0xAB44-0xAB48   | 5B    | Map 1/D2 Unknown Data           | Unknown purpose            |
